champion,picked,side,order,team,enemy,game,position,player,fb,kills,deaths,assists,date,won,time,penta,stage,region
JARVAN IV,True,B,1,PSG,R7,1,JUNGLE,JUNJIA,False,3,5,12,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
XAYAH,True,B,2,PSG,R7,1,ADC,WAKO,False,7,0,6,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
RAKAN,True,B,3,PSG,R7,1,SUPPORT,WOODY,False,3,1,12,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
NEEKO,True,B,4,PSG,R7,1,MID,MAPLE,False,2,1,10,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
KENNEN,True,B,5,PSG,R7,1,TOP,AZHI,False,2,2,7,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
EZREAL,True,R,1,R7,PSG,1,ADC,CEO,True,3,3,5,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
RENEKTON,True,R,2,R7,PSG,1,TOP,BONG,False,2,2,3,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
TALIYAH,True,R,3,R7,PSG,1,MID,MIREU,False,2,3,4,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
VIEGO,True,R,4,R7,PSG,1,JUNGLE,ODDIE,False,1,5,6,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
NAUTILUS,True,R,5,R7,PSG,1,SUPPORT,LYONZ,False,1,4,5,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
LEE SIN,False,B,1,PSG,R7,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
POPPY,False,B,2,PSG,R7,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
AKALI,False,B,3,PSG,R7,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
SEJUANI,False,B,4,PSG,R7,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
MAOKAI,False,B,5,PSG,R7,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:28:34,0,PLAY-INS,PCS
RELL,False,R,1,R7,PSG,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
SENNA,False,R,2,R7,PSG,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
VI,False,R,3,R7,PSG,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
ORIANA,False,R,4,R7,PSG,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
JAX,False,R,5,R7,PSG,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:28:34,0,PLAY-INS,LAT
MAOKAI,True,B,1,PSG,R7,2,JUNGLE,JUNJIA,False,2,0,8,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
JAYCE,True,B,2,PSG,R7,2,MID,MAPLE,False,6,0,5,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
RAKAN,True,B,3,PSG,R7,2,SUPPORT,WOODY,True,2,1,8,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
RUMBLE,True,B,4,PSG,R7,2,TOP,AZHI,False,1,2,2,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
APHELIOS,True,B,5,PSG,R7,2,ADC,WAKO,False,2,1,5,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
XAYAH,True,R,1,R7,PSG,2,ADC,CEO,False,0,4,2,2023-10-10,False,00:30:17,0,PLAY-INS,LAT
SEJUANI,True,R,2,R7,PSG,2,JUNGLE,ODDIE,False,0,1,2,2023-10-10,False,00:30:17,0,PLAY-INS,LAT
NAUTILUS,True,R,3,R7,PSG,2,SUPPORT,LYONZ,False,1,2,2,2023-10-10,False,00:30:17,0,PLAY-INS,LAT
K'SANTE,True,R,4,R7,PSG,2,TOP,BONG,False,1,2,1,2023-10-10,False,00:30:17,0,PLAY-INS,LAT
ORIANA,True,R,5,R7,PSG,2,MID,MIREU,False,2,4,1,2023-10-10,False,00:30:17,0,PLAY-INS,LAT
LEE SIN,False,B,1,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
POPPY,False,B,2,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
AKALI,False,B,3,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
SYLAS,False,B,4,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
TALIYAH,False,B,5,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS,PCS
RELL,False,R,1,R7,PSG,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:30:17,0,PLAY-INS,LAT
NEEKO,False,R,2,R7,PSG,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:30:17,0,PLAY-INS,LAT
